request_id,path_length,swath_count,swath_length_sum,main_field_area,transit_entry_leg_m,transit_turn_total_m,transit_turn_count,transit_inter_cell_m,transit_exit_leg_m,transit_other_m,working_crs,route_algorithm
f2b_000_ee_field_130,5731.614561779196,61.0,3032.241035057232,15219.766685742186,0,2699.373526721554,60.0,0.0,0,0.0,EPSG:32634,boustrophedon
f2b_001_ee_field_148,15981.124797740616,58.0,10763.84652318526,53660.60281416366,0,5217.278274551918,57.0,0.0,0,0.0,EPSG:32635,boustrophedon
f2b_002_ee_field_207,8748.137142046606,50.0,8148.512594530359,40740.50165278651,0,599.6245475158005,49.0,0.0,0,0.0,EPSG:32634,boustrophedon
f2b_003_ee_field_35,6214.878376715433,59.0,3858.3484686817974,19525.815751009763,0,2356.529908033128,58.0,0.0,0,0.0,EPSG:32635,boustrophedon
f2b_004_ee_field_43,8449.85112486939,63.0,6184.665171615779,30904.245382954832,0,2265.185953254005,62.0,0.0,0,0.0,EPSG:32634,boustrophedon
f2b_005_ee_field_46,20492.97602348731,89.0,13701.31476101745,68515.14764516708,0,6791.6612624696445,88.0,0.0,0,0.0,EPSG:32634,boustrophedon
f2b_006_ee_field_9,52176.34085937628,159.0,38493.41442080308,192458.03959578584,0,13682.92643859696,158.0,0.0,0,0.0,EPSG:32635,boustrophedon
f2b_007_nl_field_111,4674.609249464083,47.0,4301.396546962671,21452.910855207592,0,373.2127025012997,46.0,0.0,0,0.0,EPSG:32631,boustrophedon
f2b_008_nl_field_17,1512.3197364260818,37.0,1230.8427338162437,6092.684499595081,0,281.47700260979644,36.0,0.0,0,0.0,EPSG:32632,boustrophedon
f2b_009_nl_field_187374,8518.014455969276,78.0,7823.4903304148465,39097.948112937156,0,694.524125554908,77.0,0.0,0,0.0,EPSG:32631,boustrophedon
f2b_010_nl_field_188,2652.2995564359594,33.0,1102.9904871564358,5500.572063583473,0,1549.309069279691,32.0,0.0,0,0.0,EPSG:32632,boustrophedon
f2b_011_nl_field_19,5794.019248779302,117.0,4807.9362223809585,24036.048084111884,0,986.083026398093,116.0,0.0,0,0.0,EPSG:32631,boustrophedon
f2b_012_nl_field_716551,6863.980817733772,42.0,6357.639564886689,31795.075854011346,0,506.34125284744715,41.0,0.0,0,0.0,EPSG:32631,boustrophedon
f2b_013_nl_field_90,2796.547878705185,67.0,2298.342042819597,11462.235811177641,0,498.2058358853921,66.0,0.0,0,0.0,EPSG:32632,boustrophedon
